,,Number,Manuscript.Number,Article.Title,Author.Name,Article.Type,Current.Status,Decision,Status.Date,Initial.Date.Submitted,Country,Institution of the First Corresponding Author,is Fudan,is invited,Issue,is online
,,126,PNMC-D-22-00047,A low-input and low-cost protocol for conducting RNAseq experiments of whole blood samples,Ying Yu£¨CHINA£©,Protocol,Under Review,,1-Aug-22,27-Jul-22,CHINA,Fudan University,1,Y,,
,,125,PNMC-D-22-00045,Protocol for Simultaneous EEG and fNIRS Measurement in Characterizing Brain State,Ligang Zhou (CHINA),Protocol,Revise,Major revisions,2-Aug-22,28-Jun-22,CHINA,Fudan University School of Information Science and EngineeringRinggold ID 540392,1,Y,,
,,124,PNMC-D-22-00044,Adjustment for age- and gender-related metabolic changes improves the differential diagnosis of parkinsonism,Chuantao Zuo (CHINA),Article,Reviewers Assigned,,31-Jul-22,24-Jun-22,CHINA,Huashan Hospital Fudan University,1,Y,,
,,123,PNMC-D-22-00043,"Sample collection, DNA extraction, and library construction protocols of the human microbiome studies in the International Human Phenome Project",Yan Zheng (CHINA),Protocol,Reviews Completed,,5-Jul-22,17-Jun-22,CHINA,Fudan University School of Life Sciences,1,Y,,
,,122,PNMC-D-22-00042,Clinical Profiles at the Time of Diagnosis of SARS-CoV-2 Infection During the Pre-vaccination Period: Correspondence,rujittika mungmunpuntipantip (THAILAND),Correspondence/Letter to the Editor,Final Decision Reject,,27-Jun-22,15-Jun-22,THAILAND,,,N,,
,,121,PNMC-D-22-00041R1,"Skin microbiome, metabolome and skin phenome, from the perspectives of skin as an ecosystem",Jingjing Xia (CHINA),Review,Reviews Completed,Minor revisions,26-Jul-22,14-Jun-22,CHINA,Fudan University School of Life Sciences,1,Y,,
,,120,PNMC-D-22-00040,Evidence for oligogenic basis of Amyotrophic Lateral Sclerosis: burden of rare variants is associated with survival in Chinese ALS patients,Xiangjun Chen (CHINA),Article,Revise,Major revisions,1-Jul-22,12-Jun-22,CHINA,Huashan Hospital Fudan University,1,Y,,
,,119,PNMC-D-22-00039,Overview of Sleep Monitoring Protocol: Convergence Between Research and Clinical Applications,Minghui Liu (CHINA),Protocol,Revise,Major revisions,1-Jul-22,6-Jun-22,CHINA,Fudan University,1,Y,,
,,118,PNMC-D-22-00038,Autophagic clearance of lipid droplets alters metabolic phenotypes in a genetic obesity-diabetes mouse model,Yuhua Fu (CHINA),Article,Revise,Major revisions,24-Jun-22,6-Jun-22,CHINA,Fudan University School of Life Sciences,1,Y,,
,,117,PNMC-D-22-00037,Comprehensive Immune Responses Analysis by Standardized Whole-Blood Stimulation Systems,Feng Qian (CHINA),Protocol,Revise,Major revisions,27-Jun-22,2-Jun-22,CHINA,Fudan University,1,Y,,
,,116,PNMC-D-22-00035,"""The use of Imaging as non-destructive tool for water stress tolerance in spring barley (Hordeum vulgare L.)""",wejden brahmi (TUNISIA),Article,Revise,Major revisions,1-Jul-22,31-May-22,TUNISIA,Institut National de Recherche Agronomique de Tunis,0,N,,
,,115,PNMC-D-22-00034R1,A Protocol for Digital Collection of TCM Pulse Information by Using Bionic Pulse Diagnosis Equipment,Jingjing Luo (CHINA),Protocol,Under Review,Minor revisions,28-Jul-22,22-May-22,CHINA,Fudan University,1,Y,,
,,114,PNMC-D-22-00033R1,Generalized analysis of atrial fibrillation risk related electrocardiogram phenotypes: a healthy population-based study protocol,Cuiwei Yang (CHINA),Protocol,Revise,Major revisions,27-Jul-22,21-May-22,CHINA,Fudan University,1,Y,,
,,113,PNMC-D-22-00032,Protocol for brain magnetic resonance imaging (MRI) and imaging-derived phenotypes (IDPs) extraction in the Chinese Human Phenome Project,Chengyan Wang (CHINA),Protocol,Revise,Minor revisions,15-Jun-22,20-May-22,CHINA,Fudan University,1,Y,,
,,112,PNMC-D-22-00031,Immune aging evaluation of peripheral T and NK lymphocytes subsets in Chinese healthy adults,Yifang Gao (CHINA),Article,Revise,Major revisions,22-Jun-22,19-May-22,CHINA,Sun Yat-sen University First Affiliated Hospital,0,Y,,
,,111,PNMC-D-22-00029,Human endogenous melatonin is modulated by non-visual effects of light,Yafei Yuan (CHINA),Review,Final Decision Reject,,26-Jul-22,18-May-22,CHINA,Shanghai Advanced Research Institute,0,N,,
,,110,PNMC-D-22-00028,Protocol for body imaging and imaging-derived phenotypes (IDPs) extraction in the Chinese Human Phenome Project,Mei Tian (CHINA),Protocol,Revise,Major revisions,22-Jun-22,17-May-22,CHINA,Zhejiang University,0,Y,,
,,109,PNMC-D-22-00027,Deep Immunophenotyping of Human Whole Blood by Standardized Multi-Parametric Flow Cytometry Analyses,Feng Qian (CHINA),Protocol,Revise,Major revisions,14-Jun-22,15-May-22,CHINA,Fudan University,1,Y,,
,,108,PNMC-D-22-00026R1,"A meta-analysis of the genome-wide association studies on two genetically correlated phenotypes (self-reported headache and self-reported migraine) identifies four new risk loci for headaches (N=397,385)",Weihua Meng (UNITED KINGDOM),Article,Under Review,Major revisions,26-Jul-22,14-May-22,UNITED KINGDOM,University of Dundee School of MedicineRinggold,0,Y,,
,,107,PNMC-D-22-00025R1,NetNiche: microbe-metabolite network reconstruction and microbial niche analysis,Luonan Chen (CHINA),Brief Communication,Under Review,Major revisions,8-Jul-22,11-May-22,CHINA,Chinese Academy of Sciences,0,Y,,
,,106,PNMC-D-22-00024R1,A genome-wide association study for susceptibility to axial length in highly myopic eyes,Yi Lu (CHINA),Article,Revise,Major revisions,4-Jul-22,10-May-22,CHINA,Fudan University Eye Ear Nose and Throat Hospital Department of OphthalmologyRinggold,1,N,,
,,105,PNMC-D-22-00023R1,Proteomic portrait of human lymphoma revealed protein molecular fingerprint for disease specific subtypes and progression.,Wei Yan (CHINA),Article,Reviews Completed,Major revisions,1-Aug-22,8-May-22,CHINA,Shanghai Jiao Tong University,0,Y,,
,,104,PNMC-D-22-00022R1,Genochondromatosis Revisted: the unanswered question,JEANNE MARIA DSOUZA (INDIA),Brief Communication,Reviewers Assigned,Major revisions,2-Aug-22,7-May-22,INDIA,KMC Manipal: Kasturba Medical College Manipal,0,N,,
,,103,PNMC-D-22-00021R1,Accurate measurement of energy expenditure and substrate oxidation using whole-room- or mobile- indirect calorimeter,Tiemin Liu (CHINA),Protocol,Under Review,Major revisions,31-Jul-22,1-May-22,CHINA,Fudan University,1,Y,,
,,102,PNMC-D-22-00020R1,"The protocol of ultrasonic backscatter measurements and its feasibility in evaluating BMD, muscle and fat properties",Dongsheng Bi (CHINA),Protocol,Incomplete,Major revisions,14-Jul-22,30-Apr-22,CHINA,Fudan University,1,Y,,
,,101,PNMC-D-22-00019R1,Influence of gender on tau precipitation in Alzheimer¡¯s disease according to ATN research framework,Jiehui Jiang (CHINA),Article,Under Review,Major revisions,2-Aug-22,29-Apr-22,CHINA,Shanghai University,0,Y,,
,,100,PNMC-D-22-00018R1,In silico pipeline to identify tumor-specific antigens for cancer immunotherapy using exome sequencing data,Jose Arturo Molina-Mora (COSTA RICA),Article,Revise,Major revisions,22-Jul-22,26-Apr-22,COSTA RICA,"University of Costa Rica Faculty of Microbiology: Universidad de Costa Rica Facultad
de Microbiologia",0,N,,
,,99,PNMC-D-22-00017R2,Dopaminergic dysfunction and glucose metabolism characteristics in parkin-induced early onset-Parkinson¡¯s disease compared to genetically undetermined early onset-Parkinson¡¯s disease,Chuantao Zuo (CHINA),Article,Revise,Minor revisions,24-Jul-22,21-Apr-22,CHINA,Huashan Hospital Fudan University,1,Y,,
,,98,PNMC-D-22-00016R1,Virtual fluorescence translation for biological tissue by conditional generative adversarial network,xin liu (CHINA),Article,Incomplete,Major revisions,7-May-22,12-Apr-22,CHINA,Fudan University,1,Y,,
,,97,PNMC-D-22-00015R1,Machine learning assisted quantitative susceptibility mapping as a tool for grading and molecular subtyping of gliomas,Xiao-Yong Zhang (CHINA),Article,Incomplete,Major revisions,9-Jun-22,13-Mar-22,CHINA,Fudan University,1,Y,,
