Number,Manuscript.Number,Article.Title,Author.Name,Article.Type,Current.Status,Status.Date,Initial.Date.Submitted,Country,Institution of the First Corresponding Author,Institution,is Fudan,is invited,Issue,is online
134,PNMC-D-22-00055,"α2,3- S ialylation with  F ucosylation  associated with more severe anti-MDA5 positive Dermatomyositis induced by Rapidly progressive interstitial lung disease",,Article,Under Review,26-Sep-22,25-Sep-22,CHINA,Fudan University,Fudan University,1,,,
133,PNMC-D-22-00054,The effect of acetylsalicylic acid on the intensity of BOLD signal in human visual cortex during video stimulation. fMRI study.,,Article,Under Review,20-Sep-22,13-Sep-22,RUSSIAN FEDERATION,Clinical and Research Institue of Emergency Pediatric Surgery and Trauma,Overseas,0,,,
132,PNMC-D-22-00053,Deciphering the genetic architecture of human brain using image-derived phenotypes,Yucheng Yang (CHINA),Review,Reviewers Assigned,12-Sep-22,30-Aug-22,CHINA,Fudan University,Fudan University,1,Y,,
131,PNMC-D-22-00052,Effectiveness of 12-lead ECG-based gender and “heart age” estimation among healthy people: a study protocol for a retrospective trial (GAHE-HP),Cuiwei Yang (CHINA),Protocol,Final Decision Reject,18-Sep-22,21-Aug-22,CHINA,Fudan University,Fudan University,1,Y,,
130,PNMC-D-22-00051,DBLiPro: Database for Lipids and Proteins in human lipid metabolism,Wentao Dai (CHINA),Article,Revise,8-Sep-22,20-Aug-22,CHINA,Shanghai Institute for Biomedical and Pharmaceutical Technologies,Non-Fudan,0,Y,,
129,PNMC-D-22-00050,Allergic phenotypes and sarcopenia: evidence from observational studies and Mendelian randomization analysis,Minxue Shen (CHINA),Article,Reviewers Assigned,27-Sep-22,19-Aug-22,CHINA,Xiangya Hospital Central South University,Non-Fudan,0,Y,,
128,PNMC-D-22-00049,Hidden genetic regulation of human complex traits via brain isoforms,Xia Shen (CHINA),Brief Communication,Revise,13-Sep-22,17-Aug-22,CHINA,Fudan University,Fudan University,1,Y,,
127,PNMC-D-22-00048,Quantifying individual health status from multi-omics data by health state map,Xinyan Zhang (CHINA),Article,Revise,13-Sep-22,7-Aug-22,CHINA,Fudan University,Fudan University,1,Y,,
126,PNMC-D-22-00047,A low-input and low-cost protocol for conducting RNAseq experiments of whole blood samples,Ying Yu (CHINA),Protocol,Revise,29-Sep-22,27-Jul-22,CHINA,Fudan University,Fudan University,1,Y,,
125,PNMC-D-22-00045,Protocol for Simultaneous EEG and fNIRS Measurement in Characterizing Brain State,Ligang Zhou (CHINA),Protocol,Revise,2-Aug-22,28-Jun-22,CHINA,Fudan University School of Information Science and EngineeringRinggold ID 540392,Fudan University,1,Y,,
124,PNMC-D-22-00044R2,Adjustment for age- and gender-related metabolic changes improves the differential diagnosis of parkinsonism,Chuantao Zuo (CHINA),Article,Final Decision Accept,23-Sep-22,24-Jun-22,CHINA,Huashan Hospital Fudan University,Fudan Hospital,1,Y,,
123,PNMC-D-22-00043R1,"Sample collection, DNA extraction, and library construction protocols of the human microbiome studies in the International Human Phenome Project",Yan Zheng (CHINA),Protocol,Incomplete,29-Aug-22,17-Jun-22,CHINA,Fudan University School of Life Sciences,Fudan University,1,Y,,
122,PNMC-D-22-00042,Clinical Profiles at the Time of Diagnosis of SARS-CoV-2 Infection During the Pre-vaccination Period: Correspondence,rujittika mungmunpuntipantip (THAILAND),Correspondence/Letter to the Editor,Final Decision Reject,27-Jun-22,15-Jun-22,THAILAND,DY Patil University Kolhapur: D Y Patil Medical College,Overseas,0,N,,
