year	variable	value	total	prop
1	2012	Fudan_Phenomics_papers	0	72	0
2	2013	Fudan_Phenomics_papers	0	91	0
3	2014	Fudan_Phenomics_papers	0	129	0
4	2015	Fudan_Phenomics_papers	3	230	0.0130434782608696
5	2016	Fudan_Phenomics_papers	3	241	0.012448132780083
6	2017	Fudan_Phenomics_papers	7	294	0.0238095238095238
7	2018	Fudan_Phenomics_papers	52	401	0.129675810473815
8	2019	Fudan_Phenomics_papers	103	550	0.187272727272727
9	2020	Fudan_Phenomics_papers	161	748	0.21524064171123
10	2021	Fudan_Phenomics_papers	232	951	0.243953732912723
11	2022	Fudan_Phenomics_papers	212	696	0.304597701149425
12	2012	China_NonFudan_Phenomics_papers	2	72	0.0277777777777778
13	2013	China_NonFudan_Phenomics_papers	6	91	0.0659340659340659
14	2014	China_NonFudan_Phenomics_papers	14	129	0.108527131782946
15	2015	China_NonFudan_Phenomics_papers	34	230	0.147826086956522
16	2016	China_NonFudan_Phenomics_papers	25	241	0.103734439834025
17	2017	China_NonFudan_Phenomics_papers	35	294	0.119047619047619
18	2018	China_NonFudan_Phenomics_papers	35	401	0.0872817955112219
19	2019	China_NonFudan_Phenomics_papers	67	550	0.121818181818182
20	2020	China_NonFudan_Phenomics_papers	96	748	0.128342245989305
21	2021	China_NonFudan_Phenomics_papers	135	951	0.141955835962145
22	2022	China_NonFudan_Phenomics_papers	95	696	0.136494252873563
23	2012	Overseas_Phenomics_papers	70	72	0.972222222222222
24	2013	Overseas_Phenomics_papers	85	91	0.934065934065934
25	2014	Overseas_Phenomics_papers	115	129	0.891472868217054
26	2015	Overseas_Phenomics_papers	193	230	0.839130434782609
27	2016	Overseas_Phenomics_papers	213	241	0.883817427385892
28	2017	Overseas_Phenomics_papers	252	294	0.857142857142857
29	2018	Overseas_Phenomics_papers	314	401	0.783042394014963
30	2019	Overseas_Phenomics_papers	380	550	0.690909090909091
31	2020	Overseas_Phenomics_papers	491	748	0.656417112299465
32	2021	Overseas_Phenomics_papers	584	951	0.614090431125131
33	2022	Overseas_Phenomics_papers	389	696	0.558908045977011
