Number	Proportion
CHINA	193	45.7%
UNITED STATES	61	14.5%
UNITED KINGDOM	27	6.4%
GERMANY	17	4%
AUSTRALIA	12	2.8%
ITALY	12	2.8%
JAPAN	11	2.6%
CANADA	7	1.7%
FINLAND	6	1.4%
INDIA	6	1.4%
KOREA, REPUBLIC OF	6	1.4%
POLAND	6	1.4%
SWEDEN	6	1.4%
FRANCE	5	1.2%
BRAZIL	4	0.9%
NETHERLANDS	4	0.9%
SINGAPORE	4	0.9%
AUSTRIA	3	0.7%
BELGIUM	2	0.5%
CHILE	2	0.5%
CROATIA	2	0.5%
CZECH REPUBLIC	2	0.5%
DENMARK	2	0.5%
ISRAEL	2	0.5%
NORWAY	2	0.5%
PORTUGAL	2	0.5%
RUSSIAN FEDERATION	2	0.5%
SPAIN	2	0.5%
SWITZERLAND	2	0.5%
ESTONIA	1	0.2%
ETHIOPIA	1	0.2%
GREECE	1	0.2%
IRAN, ISLAMIC REPUBLIC OF	1	0.2%
MEXICO	1	0.2%
NIGERIA	1	0.2%
SAUDI ARABIA	1	0.2%
THAILAND	1	0.2%
TURKEY	1	0.2%
VIET NAM	1	0.2%
