Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Correction to: Welcome to the Phenomics Journal","Phenomics","","","","10.1007/s43657-022-00059-w","Li Jin","2022","http://link.springer.com/article/10.1007/s43657-022-00059-w","Article"
"Correction: Hidden Genetic Regulation of Human Complex Traits via Brain Isoforms","Phenomics","","","","10.1007/s43657-023-00116-y","Lu PanChenqing ZhengZhijian YangYudi PawitanTrung Nghia VuXia Shen","2023","http://link.springer.com/article/10.1007/s43657-023-00116-y","Article"
"Correction to: N-Glycoproteomics Study of Putative N-Glycoprotein Biomarkers of Drug Resistance in MCF-7/ADR Cells657","Phenomics","","","","10.1007/s43657-021-00035-w","Hailun YangFeifei XuKaijie XiaoYun ChenZhixin Tian","2022","http://link.springer.com/article/10.1007/s43657-021-00035-w","Article"
"Welcome to the Phenomics Journal","Phenomics","","1","1","10.1007/s43657-020-00009-4","Li Jin","2021","http://link.springer.com/article/10.1007/s43657-020-00009-4","Article"
"Correction to: Increased Soluble Epoxide Hydrolase Activity Positively Correlates with Mortality in Heart Failure Patients with Preserved Ejection Fraction: Evidence from Metabolomics","Phenomics","","","","10.1007/s43657-022-00088-5","Liyuan PengZiping SongChengcheng ZhaoKudusi AbuduwufuerYanwen WangZheng WenLi NiChenze LiYing YuYi ZhuHualiang JiangJinshan ShenXiangrui JiangChen ChenXu ZhangDao Wen Wang","2022","http://link.springer.com/article/10.1007/s43657-022-00088-5","Article"
"Phenomics","Phenomics","","1 / 2021 - 3 / 2023","","","","","http://link.springer.com/journal/43657","Journal"
"High Arterial Oxygen Saturation in the Acclimatized Lowlanders Living at High Altitude","Phenomics","","3","4","10.1007/s43657-023-00117-x","Yaoxi HeChaoying CuiYongbo GuoWangshan ZhengTian YueHui ZhangOuzhuluobuTianyi WuXuebin QiBing Su","2023","http://link.springer.com/article/10.1007/s43657-023-00117-x","Article"
"RNA-Sequencing Reveals Gene Expression and Pathway Signatures in Umbilical Cord Blood Affected by Birth Delivery Mode","Phenomics","","3","3","10.1007/s43657-022-00086-7","Yongjie LiuKun SunYuexin GanHan LiuJuehua YuWei XuLin ZhangDan Chen","2023","http://link.springer.com/article/10.1007/s43657-022-00086-7","Article"
"Pseudotime Ordering Single-Cell Transcriptomic of β Cells Pancreatic Islets in Health and Type 2 Diabetes","Phenomics","","1","5","10.1007/s43657-021-00024-z","Kaixuan BaoZhicheng CuiHui WangHui XiaoTing LiXingxing KongTiemin Liu","2021","http://link.springer.com/article/10.1007/s43657-021-00024-z","Article"
"Defense of COVID-19 by Human Organoids","Phenomics","","1","3","10.1007/s43657-021-00015-0","Ting LvFanlu MengMeng YuHaihui HuangXinhua LinBing Zhao","2021","http://link.springer.com/article/10.1007/s43657-021-00015-0","Article"
"Emerging Regulatory Mechanisms of N6-Methyladenosine Modification in Cancer Metastasis","Phenomics","","3","1","10.1007/s43657-021-00043-w","Jing ZhaoHao XuYinghan SuJunjie PanSunzhe XieJianfeng XuLunxiu Qin","2023","http://link.springer.com/article/10.1007/s43657-021-00043-w","Article"
"N-Glycoproteomics Study of Putative N-Glycoprotein Biomarkers of Drug Resistance in MCF-7/ADR Cells","Phenomics","","1","6","10.1007/s43657-021-00029-8","Hailun YangFeifei XuKaijie XiaoYun ChenZhixin Tian","2021","http://link.springer.com/article/10.1007/s43657-021-00029-8","Article"
"Clinical Profiles at the Time of Diagnosis of SARS-CoV-2 Infection in Costa Rica During the Pre-vaccination Period Using a Machine Learning Approach","Phenomics","","2","5","10.1007/s43657-022-00058-x","Jose Arturo Molina-MoraAlejandra GonzálezSergio Jiménez-MorganEstela Cordero-LaurentHebleen BrenesClaudio Soto-GaritaJorge Sequeira-SotoFrancisco Duarte-Martínez","2022","http://link.springer.com/article/10.1007/s43657-022-00058-x","Article"
"Performance of 18F-DCFPyL PET/CT in Primary Prostate Cancer Diagnosis, Gleason Grading and D'Amico Classification: A Radiomics-Based Study","Phenomics","","","","10.1007/s43657-023-00108-y","Yuekai LiFengcai LiShaoli HanJing NingPeng SuJianfeng LiuLili QuShuai HuangShiwei WangXin LiXiang Li","2023","http://link.springer.com/article/10.1007/s43657-023-00108-y","Article"
"Mitochondria as the Essence of Yang Qi in the Human Body","Phenomics","","2","5","10.1007/s43657-022-00060-3","Junjie LuoShiwei ShenJingjing XiaJiucun WangZhenglong Gu","2022","http://link.springer.com/article/10.1007/s43657-022-00060-3","Article"
