title	type	time	access	citation	altmetric	correspond_authors	update_time
Low Concordance Between Blood Pressures Measured in Periodic Health Examinations and in a Workplace-Based Hypertension Management Program	Article	2022-08-18	116	0	1	Shouling Wu, An Pan	2022-08-26
Cross-sectional Exploration of the Relationship Between Glutamate Abnormalities and Tic Disorder Severity Using Proton Magnetic Resonance Spectroscopy	Article	2022-08-16	120	0	0	Xiao-Yong Zhang, Min Wu	2022-08-26
Human Genetic Variants Associated with COVID-19 Severity are Enriched in Immune and Epithelium Regulatory Networks	Article	2022-08-13	210	0	2	Yong Wang	2022-08-26
Report on the 3rd Board Meeting of the International Human Phenome Consortium	Meeting Report	2022-06-22	712	0	1	Mei Tian, Li Jin	2022-08-26
Palmprint Phenotype Feature Extraction and Classification Based on Deep Learning	Article	2022-06-22	359	0	1	Sijia Wang, Guangtao Zhai	2022-08-26
Mitochondria as the Essence of Yang Qi in the Human Body	Review	2022-06-16	767	0	1	Junjie Luo, Zhenglong Gu	2022-08-26
Multi-omics Analysis of Young Portulaca oleracea L. Plants’ Responses to High NaCl Doses Reveals Insights into Pathways and Genes Responsive to Salinity Stress in this Halophyte Species	Article	2022-06-15	467	0	1	Manoel Teixeira Souza Júnior	2022-08-26
Plasma Lipidomic Subclasses and Risk of Hypertension in Middle-Aged and Elderly Chinese	Article	2022-06-14	442	0	1	Rong Zeng, Liang Sun, Xu Lin	2022-08-26
Identification of Germline Mutations in East-Asian Young Never-Smokers with Lung Adenocarcinoma by Whole-Exome Sequencing	Article	2022-06-11	642	0	1	Libing Shen, Yihua Sun, Yang Zhang	2022-08-26
Clinical Profiles at the Time of Diagnosis of SARS-CoV-2 Infection in Costa Rica During the Pre-vaccination Period Using a Machine Learning Approach	Article	2022-06-07	436	2	1	Jose Arturo Molina-Mora	2022-08-26
Global Quantitative Proteomics Analysis Reveals the Downstream Signaling Networks of Msx1 and Msx2 in Myoblast Differentiation	Article	2022-03-14	401	0	0	Yenan Yang	2022-08-26
Basic Phenotyping of Male Fertility from 2019 to 2020 at the Human Sperm Bank of Fudan University	Article	2022-02-28	360	0	0	Feng Jiang	2022-08-26
Biomarkers and Disease Trajectories Influencing Women’s Health: Results from the UK Biobank Cohort	Article	2022-05-12	780	0	0	Haomin Yang, Weimin Ye	2022-08-26
