title	url	type	time	access	citation	altmetric	correspond_authors	update_time	volume	issue
High-Resolution and Multidimensional Phenotypes Can Complement Genomics Data to Diagnose Diseases in the Neonatal Population	http://link.springer.com/article/10.1007/s43657-022-00071-0	Review	2022-09-09	115	0	0	Wenhao Zhou	2022-09-19	 	 
International Nuclear Medicine Consensus on the Clinical Use of Amyloid Positron Emission Tomography in Alzheimer’s Disease	http://link.springer.com/article/10.1007/s43657-022-00068-9	Article	2022-08-26	249	0	0	Mei Tian, Chuantao Zuo, Hong Zhang	2022-09-19	 	 
Low Concordance Between Blood Pressures Measured in Periodic Health Examinations and in a Workplace-Based Hypertension Management Program	http://link.springer.com/article/10.1007/s43657-022-00067-w	Article	2022-08-18	202	0	1	Shouling Wu, An Pan	2022-09-19	 	 
Cross-sectional Exploration of the Relationship Between Glutamate Abnormalities and Tic Disorder Severity Using Proton Magnetic Resonance Spectroscopy	http://link.springer.com/article/10.1007/s43657-022-00064-z	Article	2022-08-16	284	0	2	Xiao-Yong Zhang, Min Wu	2022-09-19	 	 
Human Genetic Variants Associated with COVID-19 Severity are Enriched in Immune and Epithelium Regulatory Networks	http://link.springer.com/article/10.1007/s43657-022-00066-x	Article	2022-08-13	403	0	2	Yong Wang	2022-09-19	 	 
Report on the 3rd Board Meeting of the International Human Phenome Consortium	http://link.springer.com/article/10.1007/s43657-022-00065-y	Meeting Report	2022-06-22	850	0	1	Mei Tian, Li Jin	2022-09-19	 	 
Palmprint Phenotype Feature Extraction and Classification Based on Deep Learning	http://link.springer.com/article/10.1007/s43657-022-00063-0	Article	2022-06-22	447	0	1	Sijia Wang, Guangtao Zhai	2022-09-19	2	4
Mitochondria as the Essence of Yang Qi in the Human Body	http://link.springer.com/article/10.1007/s43657-022-00060-3	Review	2022-06-16	881	0	1	Junjie Luo, Zhenglong Gu	2022-09-19	 	 
Multi-omics Analysis of Young Portulaca oleracea L. Plants’ Responses to High NaCl Doses Reveals Insights into Pathways and Genes Responsive to Salinity Stress in this Halophyte Species	http://link.springer.com/article/10.1007/s43657-022-00061-2	Article	2022-06-15	551	0	1	Manoel Teixeira Souza Júnior	2022-09-19	 	 
Plasma Lipidomic Subclasses and Risk of Hypertension in Middle-Aged and Elderly Chinese	http://link.springer.com/article/10.1007/s43657-022-00057-y	Article	2022-06-14	529	0	1	Rong Zeng, Liang Sun, Xu Lin	2022-09-19	 	 
